categories,terms
Data types,metadata
Data types,public data
Data types,interagency data
Data types,agency data
Data types,operational data
Data types,research data
Data types,performance indicators
Data types,administrative documents
Data types,workflow
Data types,administrative data
Data types,analysis data
Data types,records
Users,academic
Users,extramural
Users,intramural
Users,publisher
Users,data provider
Users,developer
Users,programmer
Users,expert
Users,personnel 
Users,staff
Users,administrator
Users,budget
Users,partner
Users,oversight
Strengths,funding
Strengths,knowledgeable 
Strengths,framework
Strengths,roadmap
Strengths,agreement
Strengths,data sharing
Strengths,re-use
Strengths,collaboration
Strengths,leverage
Strengths,repurpose
Strengths,data quality
Strengths,big data
Strengths,large data
Strengths,data set
Challenges,sustainability
Challenges,access
Challenges,impact
Challenges,measurement
Challenges,measuring
Challenges,identifying
Challenges,data management
Challenges,skill
Challenges,time
Challenges,trust
Challenges,data size
Challenges,heterogenous
Challenges,cost
Challenges,limited
Challenges,data silo
Challenges,architecture
Challenges,PID
Challenges,governance
Challenges,permissions
Challenges,vulnerability
Goals,external
Goals,data security
Goals,pipeline
Goals,monitoring
Goals,evaluation
Stages,systems
Stages,development
Stages,policy
Stages,capacity
Stages,FAIR
Stages,data generation
Stages,envision
Stages,terms and conditions
Stages,curate
Stages,curation
Stages,incentive
Stages,interoperability
Stages,data commons
Stages,data lake
